Salesman_Key,Salesman_Name,Supervisor_Name,Position,Commission_Rate,Hiring_Date,Sales_Tool
1,Bryan Wilson,Jay Gonzalez,Pre-Seller,0.044,2021-09-03,Mobile App
2,Brian Dawson,Kevin Mills,Key Account Manager,0.039,2019-12-09,Manual Paper
3,Jessica Moore,Kristine Herman,Pre-Seller,0.026,2020-09-02,Handheld PDA
4,Mark Harper,Louis Keller,Pre-Seller,0.024,2021-12-23,Manual Paper
5,Stacey Ward,Ryan Foster,Key Account Manager,0.014,2022-11-08,Handheld PDA
6,Jerry Barajas,Nicole Clements,Key Account Manager,0.027,2021-03-03,Manual Paper
7,Alexa Matthews,Lisa Lewis,Pre-Seller,0.048,2021-08-03,Manual Paper
8,Paul Gilmore,Phillip Graves,Pre-Seller,0.019,2021-05-18,Mobile App
9,Ryan Mitchell PhD,Cassandra Griffin,Van-Seller,0.04,2019-08-23,Manual Paper
10,Christine Davis,Stephen Campbell,Key Account Manager,0.039,2019-05-19,Mobile App
11,Paige Rodriguez,Angelica Potter,Pre-Seller,0.012,2021-02-22,Manual Paper
12,Amanda Clark,Jason Cook,Van-Seller,0.016,2019-05-01,Handheld PDA
13,Ryan Greene,Benjamin Cruz,Van-Seller,0.036,2019-03-08,Manual Paper
14,Melissa Clark,Heather Barber,Pre-Seller,0.042,2021-03-22,Mobile App
15,Ashley Mason,,Pre-Seller,0.053,2020-01-10,Manual Paper
16,Kristin Banks,Danielle Daniels,Key Account Manager,0.021,2020-04-24,Manual Paper
17,Stacie Bowen,Wesley Spencer,Van-Seller,0.052,2019-11-19,Mobile App
18,Shawn Weeks,Alan Armstrong,Pre-Seller,0.022,2019-02-24,Manual Paper
19,Joann Aguirre MD,Tina Perry,Key Account Manager,0.054,2021-01-21,Handheld PDA
20,Richard Mcdaniel,Cindy Brooks,Van-Seller,0.033,2022-05-20,Manual Paper
21,Tammy Wilkinson,Jesse Taylor,Van-Seller,0.032,2019-10-30,Mobile App
22,Jennifer Snyder,Sarah Williams,Key Account Manager,0.05,2019-06-26,Mobile App
23,Brooke Evans,Gabriel Green MD,Key Account Manager,0.015,2021-09-13,Manual Paper
24,Natasha Barber MD,Sharon Lee,Key Account Manager,0.019,2020-07-09,Handheld PDA
25,Ashley Bradley,Crystal Cuevas,Key Account Manager,0.032,2020-07-09,Handheld PDA
26,Diana Brewer,Garrett Decker,Pre-Seller,0.035,2021-10-23,Mobile App
27,Chris Harris,Tina Patterson,Van-Seller,0.021,2019-05-09,Manual Paper
28,Bradley Wood,Jacob Coffey,Key Account Manager,0.015,2020-03-07,Manual Paper
29,Debbie Joseph,Sharon Gomez,Key Account Manager,0.029,2020-10-05,Mobile App
30,Danny Martinez,,Van-Seller,0.058,2022-01-12,Manual Paper
31,Brooke Hubbard,Robert Clark,Key Account Manager,0.051,2018-12-18,Mobile App
32,Brittney Thompson,Jeffery Franklin,Van-Seller,0.023,2022-07-28,Handheld PDA
33,Gregory Galloway,Anthony Garcia,Pre-Seller,0.049,2020-02-10,Mobile App
34,Ashley Long,Ricky Smith,Van-Seller,0.046,2018-12-20,Manual Paper
35,Shelley Brown,Sandra Garcia,Pre-Seller,0.033,2020-06-28,Manual Paper
36,George Lopez,Brandy Price,Pre-Seller,0.019,2020-11-20,Handheld PDA
37,Crystal Little,Joseph Reese,Van-Seller,0.054,2020-07-22,Manual Paper
38,Larry Garcia,Jodi Jenkins,Key Account Manager,0.011,2019-09-09,Handheld PDA
39,Eric Huffman,Cameron Morales,Pre-Seller,0.055,2019-11-13,Mobile App
40,Samantha Valenzuela,Laurie Wells,Pre-Seller,0.034,2020-01-22,Manual Paper
41,Juan Holmes,Dustin Mcguire,Pre-Seller,0.05,2021-05-12,Manual Paper
42,Mark Carroll,John Arroyo,Pre-Seller,0.028,2022-05-17,Handheld PDA
43,Daniel Thomas,Jennifer Lee,Van-Seller,0.058,2019-12-20,Manual Paper
44,Adam Patterson,Shawn Hill,Van-Seller,0.046,2021-04-21,Manual Paper
45,Natalie Rice,,Key Account Manager,0.019,2020-12-11,Mobile App
46,Connie Lowe,Lisa Ryan,Van-Seller,0.034,2020-05-18,Mobile App
47,James Kennedy,Robert Wilkinson,Key Account Manager,0.029,2019-11-09,Mobile App
48,Timothy Davis,Samuel Perez,Key Account Manager,0.024,2022-11-12,Manual Paper
49,Anna Mcdowell,Stephanie Reed,Key Account Manager,0.025,2020-12-14,Handheld PDA
50,Kayla Grant,Kimberly Leon,Key Account Manager,0.038,2021-04-16,Mobile App
51,Diana Anderson,Tina Park,Van-Seller,0.016,2021-09-19,Mobile App
52,James Fisher,Charles Beck,Pre-Seller,0.035,2020-07-11,Mobile App
53,Caroline Miller,James Anderson,Key Account Manager,0.013,2022-06-19,Manual Paper
54,Becky Stephens,Jacob Conway,Pre-Seller,0.026,2020-01-01,Manual Paper
55,Brett Allen,Kari Martinez,Van-Seller,0.011,2022-06-29,Handheld PDA
56,Lonnie Olsen,Andrew Duffy,Pre-Seller,0.014,2022-07-08,Handheld PDA
57,Paul Larsen,Haley Bell,Pre-Seller,0.05,2019-05-31,Manual Paper
58,Michelle Sutton,Lindsay Wilson,Pre-Seller,0.035,2022-10-14,Mobile App
59,Melissa Holden,Alyssa Vasquez,Key Account Manager,0.057,2020-04-30,Manual Paper
60,Bryan Palmer,,Van-Seller,0.01,2019-06-30,Manual Paper
61,Erik Fletcher,Douglas Bailey,Van-Seller,0.02,2022-06-28,Mobile App
62,Christine Wheeler,Steven Fernandez,Pre-Seller,0.038,2021-11-26,Manual Paper
63,Lori Harris,Samantha Welch,Key Account Manager,0.02,2021-10-10,Manual Paper
64,Sonya Cherry,Megan Munoz,Pre-Seller,0.023,2020-12-03,Handheld PDA
65,Amber Burch,Christina Martinez,Key Account Manager,0.03,2022-07-18,Manual Paper
66,Brenda Ruiz,Mark Young,Key Account Manager,0.02,2020-01-13,Handheld PDA
67,Susan Clark,Kylie Ellis,Van-Seller,0.016,2021-08-28,Mobile App
